class = cat
Episode 0
              0.1        0.2        0.3        0.4        0.5
ap      80.833797  63.641535  47.565916  34.477013  21.842594
recall  89.750693  79.639889  68.836565  58.587258  46.675900

Episode 1
              0.1        0.2        0.3        0.4        0.5
ap      81.907335  69.166002  52.427874  35.927913  22.052309
recall  90.304709  83.102493  72.299169  59.695291  46.814404

Episode 2
              0.1        0.2        0.3        0.4        0.5
ap      77.787693  64.654510  51.233950  35.176934  19.568290
recall  88.088643  80.193906  71.468144  58.864266  44.182825

Episode 3
              0.1        0.2        0.3        0.4        0.5
ap      82.222015  67.654416  53.959838  36.638678  23.760522
recall  90.581717  82.132964  73.407202  60.387812  48.614958

Episode 4
              0.1        0.2        0.3        0.4        0.5
ap      80.662458  68.408940  54.492682  39.836400  27.806733
recall  89.612188  82.548476  73.684211  62.880886  52.354571

Episode 5
              0.1        0.2        0.3        0.4        0.5
ap      85.375334  73.365680  58.518026  46.014774  31.746279
recall  92.382271  85.457064  76.315789  67.590028  56.094183

Episode 6
              0.1       0.2        0.3        0.4        0.5
ap      85.074170  73.17716  58.473194  47.277276  34.616828
recall  92.105263  85.31856  76.315789  68.698061  58.725762

Episode 7
              0.1        0.2        0.3        0.4        0.5
ap      85.329956  74.527875  60.687886  48.532677  35.445320
recall  92.243767  86.149584  77.700831  69.529086  59.418283

Episode 8
              0.1        0.2        0.3        0.4        0.5
ap      86.538521  74.021162  60.905953  48.335769  32.064126
recall  92.797784  85.872576  77.839335  69.252078  56.509695

Episode 9
              0.1        0.2        0.3        0.4        0.5
ap      83.704484  70.396349  56.351663  44.245580  31.197345
recall  91.412742  83.795014  74.653740  66.204986  55.540166

Episode 10
              0.1        0.2        0.3        0.4        0.5
ap      86.099646  73.544329  60.352858  47.391339  33.513455
recall  92.659280  85.595568  77.285319  68.421053  57.617729

Episode 11
              0.1        0.2       0.3        0.4        0.5
ap      84.629218  71.746607  59.86278  48.226123  34.551558
recall  91.828255  84.487535  77.00831  69.113573  58.448753

Episode 12
              0.1        0.2        0.3        0.4        0.5
ap      81.620329  69.570332  58.070404  46.521035  34.008356
recall  90.304709  83.240997  76.038781  68.005540  57.756233

Episode 13
              0.1        0.2        0.3        0.4        0.5
ap      82.616700  69.521487  56.164305  45.764965  31.796363
recall  90.720222  83.102493  74.792244  67.451524  56.232687

Episode 14
              0.1        0.2        0.3        0.4        0.5
ap      83.227280  70.336117  56.670012  43.289994  31.067294
recall  91.135734  83.656510  75.207756  65.650970  55.263158
class = car
Episode 0
              0.1        0.2        0.3        0.4        0.5
ap      26.258628  18.080798  12.360760   8.479284   3.944591
recall  48.914168  39.813857  32.161324  25.956567  18.200620

Episode 1
              0.1        0.2        0.3        0.4       0.5
ap      25.844512  18.772977  14.119501   9.248306   4.02374
recall  48.500517  40.227508  34.229576  26.370217  17.78697

Episode 2
              0.1        0.2        0.3        0.4        0.5
ap      27.839818  20.335854  14.766768  11.037387   5.324669
recall  50.361944  41.985522  35.056877  29.369183  20.268873

Episode 3
              0.1        0.2        0.3        0.4        0.5
ap      32.966930  21.927682  16.033871  10.833101   6.045782
recall  54.601861  43.640124  36.711479  29.369183  21.716649

Episode 4
              0.1        0.2        0.3        0.4        0.5
ap      32.050811  22.603657  18.946695  13.704449   7.533262
recall  53.567735  44.053775  39.607032  33.298862  25.025853

Episode 5
              0.1        0.2        0.3        0.4        0.5
ap      34.705117  26.052857  20.226699  14.992894   9.105114
recall  56.153051  47.983454  41.675284  35.367115  27.094105

Episode 6
              0.1        0.2        0.3        0.4        0.5
ap      32.800873  24.535956  19.476776  14.632166   7.725110
recall  54.808687  46.328852  40.434333  34.436401  24.819028

Episode 7
             0.1        0.2        0.3        0.4        0.5
ap      31.39969  24.338368  18.738458  12.963805   7.068785
recall  53.36091  45.915202  39.400207  32.161324  23.888314

Episode 8
              0.1        0.2       0.3        0.4        0.5
ap      30.532811  21.670202  16.95801  11.873356   6.736935
recall  52.533609  43.536711  37.95243  31.127198  23.061013

Episode 9
              0.1        0.2        0.3        0.4        0.5
ap      30.763197  21.463067  16.005855  11.442843   7.563138
recall  52.843847  43.433299  37.228542  30.713547  24.301965

Episode 10
              0.1        0.2        0.3        0.4        0.5
ap      33.102328  25.467640  18.746918  13.569258   8.029459
recall  55.325750  48.293692  40.434333  33.815926  25.646329

Episode 11
              0.1        0.2        0.3        0.4        0.5
ap      29.728133  21.726934  17.526430  12.327069   6.679969
recall  52.430196  44.260600  39.296794  32.988625  24.095140

Episode 12
              0.1        0.2        0.3        0.4       0.5
ap      31.703203  22.082918  17.366884  12.559744   7.39665
recall  53.567735  44.053775  38.676319  32.161324  24.09514

Episode 13
              0.1        0.2        0.3        0.4        0.5
ap      32.791680  23.213391  17.677201  13.007367   8.123308
recall  54.601861  45.191313  38.986556  33.195450  25.439504

Episode 14
              0.1        0.2        0.3        0.4        0.5
ap      31.984510  22.376261  16.717282  12.357324   6.860408
recall  54.395036  44.674250  37.642192  31.954498  22.957601
class = dog
Episode 0
              0.1        0.2        0.3        0.4        0.5
ap      67.401252  46.415363  31.413646  20.513632  12.819214
recall  81.498297  67.877412  55.959137  44.835414  34.846765

Episode 1
              0.1        0.2        0.3        0.4        0.5
ap      72.244452  55.480139  38.168299  22.703943  11.043069
recall  84.335982  73.779796  60.953462  46.992054  32.463110

Episode 2
              0.1        0.2       0.3        0.4        0.5
ap      74.262649  56.726347  41.65128  27.818389  17.587934
recall  85.471056  74.347333  63.22361  51.418842  39.954597

Episode 3
              0.1        0.2        0.3        0.4        0.5
ap      74.829554  59.205520  43.350284  28.683497  15.947409
recall  85.811578  76.163451  65.153235  52.553916  38.933031

Episode 4
              0.1        0.2        0.3        0.4        0.5
ap      78.324148  64.351829  48.468860  32.979092  17.845091
recall  87.854711  79.568672  69.012486  56.640182  40.976163

Episode 5
              0.1        0.2        0.3        0.4        0.5
ap      78.972758  62.781741  47.081490  31.863455  19.879758
recall  88.081725  78.547106  68.331442  56.072645  43.927355

Episode 6
              0.1        0.2        0.3        0.4        0.5
ap      77.613393  61.690258  47.288848  34.019360  19.485999
recall  87.741203  78.093076  68.331442  57.775255  43.473326

Episode 7
              0.1        0.2        0.3        0.4        0.5
ap      80.666495  61.628227  48.406409  33.521407  19.001614
recall  89.103292  77.752554  68.785471  57.094211  42.905789

Episode 8
              0.1        0.2        0.3        0.4        0.5
ap      77.933333  62.392493  48.798772  33.806232  19.633640
recall  87.741203  78.206583  69.353008  57.888763  43.700341

Episode 9
              0.1        0.2        0.3        0.4        0.5
ap      78.930512  62.333956  49.719035  33.963390  21.469970
recall  88.308740  78.433598  70.034052  57.888763  45.289444

Episode 10
              0.1        0.2        0.3        0.4        0.5
ap      78.572041  62.113822  49.027942  35.158504  21.673256
recall  87.854711  78.547106  69.239501  58.569807  45.289444

Episode 11
              0.1        0.2        0.3        0.4        0.5
ap      79.115924  62.267108  47.616452  32.896052  20.365000
recall  88.308740  78.547106  68.217934  56.526674  43.813848

Episode 12
              0.1        0.2        0.3        0.4        0.5
ap      79.636430  62.383995  45.328248  34.792620  20.585669
recall  88.649262  77.979569  66.969353  58.683314  44.721907

Episode 13
              0.1        0.2        0.3        0.4        0.5
ap      75.994775  62.861324  49.724604  36.460471  22.305480
recall  86.606129  78.547106  69.693530  59.931896  46.424518

Episode 14
              0.1        0.2        0.3        0.4        0.5
ap      78.272582  62.969397  47.575836  35.707625  21.627169
recall  87.627696  78.320091  68.671964  59.477866  45.743473
class = aeroplane
Episode 0
              0.1        0.2        0.3        0.4        0.5
ap      65.815835  51.369835  34.677739  18.766090  10.665782
recall  80.421053  70.315789  57.684211  41.894737  30.315789

Episode 1
              0.1        0.2        0.3        0.4        0.5
ap      72.059654  61.516310  48.145125  35.303702  23.735961
recall  84.000000  77.894737  68.210526  58.105263  46.947368

Episode 2
              0.1        0.2        0.3        0.4        0.5
ap      78.936679  67.220345  55.735905  42.702971  27.028818
recall  88.210526  81.263158  73.473684  64.210526  51.157895

Episode 3
              0.1        0.2        0.3        0.4        0.5
ap      77.354516  65.287577  51.857847  36.961904  21.136452
recall  87.368421  80.000000  71.157895  60.210526  45.263158

Episode 4
              0.1        0.2        0.3        0.4        0.5
ap      76.550353  65.947401  50.813592  38.114628  24.871002
recall  87.157895  80.842105  70.526316  60.842105  49.052632

Episode 5
              0.1        0.2        0.3        0.4        0.5
ap      80.127519  70.314830  53.005018  38.646202  22.057952
recall  88.842105  83.368421  71.789474  61.473684  45.894737

Episode 6
              0.1        0.2        0.3        0.4        0.5
ap      79.820599  68.901433  52.090245  38.080290  26.004255
recall  88.842105  82.105263  71.157895  61.052632  50.105263

Episode 7
              0.1        0.2        0.3        0.4        0.5
ap      80.320663  65.368995  50.489532  36.681162  24.174801
recall  89.052632  80.210526  70.526316  59.578947  48.210526

Episode 8
              0.1        0.2        0.3        0.4        0.5
ap      76.516813  66.694407  50.295594  37.103181  23.122383
recall  86.736842  80.842105  70.105263  60.000000  46.947368

Episode 9
              0.1        0.2        0.3        0.4        0.5
ap      77.640222  66.259624  48.992152  34.984227  19.619708
recall  87.368421  80.631579  69.263158  58.526316  43.368421

Episode 10
              0.1        0.2        0.3        0.4        0.5
ap      76.966475  67.935633  50.748459  37.277253  23.624771
recall  86.947368  81.684211  70.526316  60.421053  47.368421

Episode 11
              0.1        0.2        0.3        0.4        0.5
ap      74.886752  66.142515  49.179009  36.408428  21.854600
recall  85.894737  80.631579  69.684211  59.368421  45.473684

Episode 12
              0.1        0.2        0.3        0.4        0.5
ap      76.529358  65.851368  49.547739  37.392603  22.657733
recall  86.947368  80.421053  69.894737  60.631579  46.315789

Episode 13
              0.1        0.2        0.3        0.4        0.5
ap      76.550064  65.939440  51.674353  39.117806  23.772968
recall  86.947368  80.421053  70.947368  61.473684  46.947368

Episode 14
              0.1        0.2        0.3        0.4        0.5
ap      74.501975  65.285709  50.202627  38.341073  22.309804
recall  85.473684  80.000000  70.105263  61.263158  45.894737
